qid_date,3068,60
20211207,2,1
20211208,4,1
20211209,1,1
20211210,1,0
20211213,4,0
20211214,1,0
20211215,1,4
20211216,1,4
20211217,4,2
20211220,4,4
20211221,2,0
20211222,2,2
20211223,4,2
20211224,2,0
20211227,1,1
20211228,1,1
20211229,4,1
20211230,4,1
20211231,1,1
20220104,1,0
20220105,4,4
20220106,4,4
20220107,4,4
20220110,2,1
20220111,1,0
20220112,1,0
20220113,4,2
20220114,4,2
20220117,1,1
20220118,1,1
20220119,1,0
20220120,2,0
20220121,4,2
20220124,2,2
20220125,2,1
20220126,4,1
20220127,4,2
20220128,4,0
20220207,1,0
20220208,1,4
20220209,1,4
20220210,4,1
20220211,0,0
20220214,0,0
20220215,0,0
20220216,1,1
20220217,1,2
20220218,1,1
20220221,1,0
20220222,1,4
20220223,4,2
20220224,4,2
20220225,4,2
20220228,4,1
20220301,1,1
20220302,1,1
20220303,2,1
20220304,2,4
20220307,3,4
20220308,4,2
20220309,4,0
20220310,1,0
20220311,1,1
20220314,1,1
20220315,2,1
20220316,2,1
20220317,2,4
20220318,2,4
20220321,1,4
20220322,1,0
20220323,1,0
20220324,4,1
20220325,2,1
20220328,2,1
20220329,2,1
20220330,1,0
20220331,1,0
20220401,1,0
20220406,2,1
20220407,2,1
20220408,2,0
20220411,1,2
20220412,1,2
20220413,1,4
20220414,1,4
20220415,2,4
20220418,2,1
20220419,2,1
20220420,1,0
20220421,1,2
20220422,4,4
20220425,2,4
20220426,2,1
20220427,2,1
20220428,1,1
20220429,1,4
20220505,1,4
20220506,2,4
20220509,2,1
20220510,2,1
20220511,2,2
20220512,4,2
20220513,4,4
20220516,4,2
20220517,4,1
20220518,2,1
20220519,2,1
20220520,1,4
20220523,1,4
20220524,4,4
20220525,4,1
20220526,4,1
20220527,4,2
20220530,1,1
20220531,1,4
20220601,4,4
20220602,4,1
20220606,4,1
20220607,4,2
20220608,1,4
20220609,2,2
20220610,2,2
20220613,1,1
20220614,2,1
20220615,2,4
20220616,2,4
20220617,2,2
20220620,1,2
20220621,4,2
20220622,2,0
20220623,2,4
20220624,1,4
20220627,1,1
20220628,1,2
20220629,2,2
20220630,2,2
20220701,2,4
20220704,1,4
20220705,1,1
20220706,2,1
20220707,2,0
20220708,2,4
20220711,1,2
20220712,1,2
20220713,1,2
20220714,2,1
20220715,4,4
20220718,4,4
20220719,4,0
20220720,2,2
20220721,1,2
20220722,1,1
20220725,2,4
20220726,2,4
20220727,2,2
20220728,4,2
20220729,4,1
20220801,2,1
20220802,2,0
20220803,1,0
20220804,1,0
20220805,3,1
20220808,2,1
20220809,4,2
20220810,4,2
20220811,4,2
20220812,2,4
20220815,2,4
20220816,2,1
20220817,1,1
20220818,1,2
20220819,4,2
20220822,2,4
20220823,3,4
20220824,3,1
20220825,3,1
20220826,3,2
20220829,2,2
20220830,3,4
20220831,3,0
20220901,3,1
20220902,3,1
20220905,2,4
20220906,2,4
20220907,2,4
20220908,1,1
20220909,1,1
20220913,4,0
20220914,4,4
20220915,3,4
20220916,3,1
20220919,3,1
20220920,2,2
20220921,1,2
20220922,1,4
20220923,4,4
20220926,4,1
20220927,4,1
20220928,3,1
20220929,0,0
20220930,3,1
20221010,1,1
20221011,2,3
20221012,2,4
20221013,4,4
20221014,4,2
20221017,1,2
20221018,2,1
20221019,1,1
20221020,1,3
20221021,3,3
20221024,2,3
20221025,2,2
20221026,2,2
20221027,2,3
20221028,1,4
20221031,3,1
20221101,3,1
20221102,2,1
20221103,2,4
20221104,1,4
20221107,1,1
20221108,4,0
20221109,4,1
20221110,2,1
20221111,4,1
20221114,1,4
20221115,1,4
20221116,1,0
20221117,3,0
20221118,2,1
20221121,2,1
20221122,4,4
20221123,4,4
20221124,3,3
20221125,2,3
20221128,2,3
20221129,1,4
20221130,1,4
20221201,2,4
20221202,2,2
20221205,2,2
20221206,3,4
20221207,3,4
20221208,1,3
20221209,2,3
20221212,2,3
20221213,1,3
20221214,3,4
20221215,1,2
20221216,2,2
20221219,2,1
20221220,3,1
20221221,2,4
20221222,1,3
20221223,1,2
20221226,2,2
20221227,4,1
20221228,3,1
20221229,3,3
20221230,3,4
20230103,1,2
20230104,2,2
20230105,2,2
20230106,3,1
20230109,3,1
20230110,3,1
20230111,1,4
20230112,1,2
20230113,1,0
20230116,1,3
20230117,3,1
20230118,3,1
20230119,2,1
20230120,1,2
20230130,1,1
20230131,1,1
20230201,4,4
20230202,2,4
20230203,2,1
20230206,2,3
20230207,0,0
20230208,1,2
20230209,3,2
20230210,4,4
20230213,4,1
20230214,0,1
20230215,0,2
20230216,0,2
20230217,0,2
20230220,1,1
20230221,3,1
20230222,4,1
20230223,4,4
20230224,4,2
20230227,2,2
20230228,2,0
20230301,2,0
20230302,2,1
